FacilityId,Name,StreetAddress,Suburb,Postcode,State,Country,FacilityPhoneNumber,IsAccessCard,AccessCardFee,Is24Hour,WebsiteUrl,Region,ServicesList,ServicesExpanded,ActivitiesExpanded,FacilityStatusId,NoNewMembersDate,AdditionalInfo,Latitude,Longitude
7553,National Centre of Indigenous Excellence- Compulsory annual fee of $50.00 applies,"Redfern Primary School, 180 George St",Redfern,2016,NSW,Australia,0290467800,True,50.0,False,https://ncie.org.au/,NSW - Sydney: Inner East,"Gym Access, Gym Access,",Gym Access,Gym Access,2,,,-33.89463599999,151.20141100000
7152,Plus Fitness Waterloo 24/7,11a Lachlan St,Waterloo,2017,NSW,Australia,0293107788,True,49.0,True,http://www.plusfitness.com.au/gyms/plus-fitness-waterloo/,NSW - Sydney: Inner East,"Gym Access, Gym Access,",Gym Access,Gym Access,2,,,-33.90099,151.21179000000
7820,Kindred Training Waterloo *GYM ACCESS ONLY*,Shop 10/9 Danks St,Waterloo,2017,NSW,Australia,0411386389,True,50.0,True,https://kindredtraining.com.au/,NSW - Sydney: Inner East,"Gym Access, Gym Access,",Gym Access,Gym Access,2,,,-33.89784699999,151.21092300000
7532,Plus Fitness Rosebery 24/7,418 Gardeners Rd,Rosebery,2018,NSW,Australia,0293174444,True,49.0,True,https://www.plusfitness.com.au/gyms/rosebery/,NSW - Sydney: Inner East,"Gym Access, Gym Access,",Gym Access,"Group Fitness, Gym Access",2,,,-33.92143999999,151.19882999999
7322,Botany Aquatic Centre,Corner of Myrtle Street and Jasmine Street,Botany,2019,NSW,Australia,0293166218,False,,False,http://www.botanybay.nsw.gov.au/Recreation/Botany-Aquatic-Centre,NSW - Sydney: Inner East,"Pool Entry, Pool Entry,",Pool Entry,Pool,2,,,-33.93972000000,151.20311000000
8999,Plus Fitness Botany 24/7,12 Pemberton St,Botany,2019,NSW,Australia,0483227914,True,59.0,True,https://www.plusfitness.com.au/gyms/botany/,NSW - Sydney: Inner East,"Gym Access, Gym Access,",Gym Access,Gym Access,2,,,-33.95301052838,151.20333972998
8946,MeFit 24/7,1105 Botany Rd,Mascot,2020,NSW,Australia,0497834459,False,,True,https://www.mefit247.com.au/,NSW - Sydney: Inner East,"Gym Access, Gym Access,",Gym Access,Gym Access,2,,,-33.92884150051,151.19515053214
8677,World Gym Moore Park 24/7,2205A / 122 Lang Rd,Moore Park,2021,NSW,Australia,0439025494,True,79.0,True,https://worldgymmoorepark.com.au/,NSW - Sydney: Inner East,"Gym Access, Gym Access,",Gym Access,Gym Access,2,,,-33.89454,151.22722
8566,The Toll House Health and Wellness,Cnr of Anzac Parade and Cleveland St ,Moore Park,2021,NSW,Australia,0281979500,True,49.95,False,https://thetollhouse.com.au/?utm_source=GMBlisting&utm_medium=organic,NSW - Sydney: Inner East,"Gym Access and Fitness Class, Gym Access and Fitness Class,",Gym Access and Fitness Class,"Group Fitness, Gym Access",2,,one-off joining fee applies to FP members,-33.89503,151.22109
7245,Plus Fitness Bondi Junction 24/7,7/251 Oxford St,Bondi Junction,2022,NSW,Australia,0293890099,True,60.0,True,https://www.plusfitness.com.au/gyms/bondi-junction/,NSW - Sydney: Eastern Suburbs,"Gym Access, Gym Access,",Gym Access,Gym Access,2,,,-33.89114599999,151.252588
7198,Bondi Gym,32 Ebley St,Bondi Junction,2022,NSW,Australia,0293874446,True,25.0,False,http://www.bondigym.com.au/,NSW - Sydney: Eastern Suburbs,"Gym Access, Gym Access,",Gym Access,Gym Access,2,,,-33.89300999999,151.24634
7243,Beachouse,180 Campbell Pde,Bondi Beach,2026,NSW,Australia,0484243085,False,,False,https://www.beachousebondi.com/beachouse,NSW - Sydney: Eastern Suburbs,"Gym Access, Gym Access,",Gym Access,Gym Access,2,,,-33.88913329314,151.27583155487
6685,The Icebergs Pool,1 Notts Ave,Bondi Beach,2026,NSW,Australia,0291304804,False,,False,https://icebergs.com.au/,NSW - Sydney: Eastern Suburbs,"Pool Entry, Pool Entry,",Pool Entry,Pool,2,,,-33.89479099999,151.27434
7433,Gym 115 Randwick,115 Avoca St,Randwick,2031,NSW,Australia,0286674020,False,,False,https://gym115.com.au/,NSW - Sydney: Eastern Suburbs,"Gym Access, Gym Access,",Gym Access,Gym Access,2,,,-33.91270999999,151.24270000000
7461,PCYC Eastern Suburbs - Daceyville,26a Bunnerong Rd,Daceyville,2032,NSW,Australia,0293142536,True,30.0,False,https://www.pcycnsw.org.au/eastern-suburbs/,NSW - Sydney: Eastern Suburbs,"Gym Access, Gym Access,",Gym Access,"Group Fitness, Gym Access",2,,,-33.92996999999,151.22924
6703,The Juniors - Kingsford,558A Anzac Pde,Kingsford,2032,NSW,Australia,0293497555,False,,False,https://www.thejuniors.com.au/,NSW - Sydney: Eastern Suburbs,"Gym Access, Gym Access,",Gym Access,"Boxing, Group Fitness, Gym Access, HIIT, Pilates, Pool, Yoga",2,,"Please note you must be a member of The Juniors to use this facility. Members is an annual cost of $11 Annual fee.
",-33.92553000000,151.23062999999
7834,Plus Fitness Kingsford 24/7,23 Bruce Street,Kingsford,2032,NSW,Australia,0293107788,True,49.0,True,https://www.plusfitness.com.au/gyms/kingsford/,NSW - Sydney: Eastern Suburbs,"Gym Access, Gym Access,",Gym Access,Gym Access,2,,,-33.92475071240,151.22579536591
7991,UNSW Fitness and Aquatic Centre,"UNSW Building B5, 2 High St",Kensington,2033,NSW,Australia,0296625112,False,,False,https://unswfac.com.au/,NSW - Sydney: Eastern Suburbs,"Gym Access Fitness Classes and Pool Access, Gym Access, Fitness Classes and Pool Access,",Gym Access Fitness Classes and Pool Access,"Group Fitness, Gym Access, Pool",2,,- FP members have same access as a Thrive membership,-33.91532000000,151.22676000000
7324,Legends Gym Kensington,89 Anzac Pde,Kensington,2033,NSW,Australia,0296633774,False,,False,http://www.legendsgym.net.au/,NSW - Sydney: Eastern Suburbs,"Gym Access, Gym Access,",Gym Access,"Boxing, Gym Access, Martial Arts",2,,,-33.90827999999,151.22322
6973,Wylies Baths Coogee,4b Neptune St,Coogee,2034,NSW,Australia,0296652838,False,,False,http://www.wylies.com.au/index.html,NSW - Sydney: Eastern Suburbs,"Pool Entry, Pool Entry,",Pool Entry,Pool,2,,,-33.92569999999,151.25927999999
6704,Des Renford Leisure Centre,Corner Jersey Road and Robey Street,Maroubra,2035,NSW,Australia,0290936300,False,,False,https://www.randwick.nsw.gov.au/drlc/home,NSW - Sydney: Eastern Suburbs,"Gym Access Fitness Classes and Pool Access, Gym Access, Fitness Classes and Pool Access,",Gym Access Fitness Classes and Pool Access,"Boxing, Cycling, Group Fitness, Gym Access, HIIT, Pilates, Pool, Yoga",2,,Gym Access is for members 16+ only,-33.95019,151.23892
7445,Maroubra Seals Gym,212 Marine Parade,Maroubra,2035,NSW,Australia,0293492299,False,,False,http://www.maroubraseals.com.au/index.html,NSW - Sydney: Eastern Suburbs,"Gym Access, Gym Access,",Gym Access,Gym Access,2,,,-33.94689000000,151.25595000000
7712,MYGYM Health and Fitness - Eastgardens,"Suite B2, 152 Bunnerong Road",Eastgardens,2036,NSW,Australia,0283471001,False,,False,https://www.mygymfitness.com.au/,NSW - Sydney: Eastern Suburbs,"Gym Access, Gym Access,",Gym Access,"Bootcamp, Boxing, Crossfit, Cycling, Group Fitness, Gym Access, HIIT, Ladies Only, Pilates, Yoga",2,,Gym Access is for members 15+ only,-33.94452499999,151.22443000000
7833,Bodyfit Fitness Centre Tramsheds 24/7,Shop 8A/1 Dalgal Way,Forest Lodge,2037,NSW,Australia,0290582588,True,10.0,True,https://bodyfit.com.au/gyms/bodyfit-glebe/,NSW - Sydney CBD,"Gym Access, Gym Access,",Gym Access,"Boxing, Group Fitness, Gym Access, HIIT, Ladies Only, Pilates, Sauna, Spa, Yoga",2,,,-33.87649100000,151.178245
7473,PCYC Glebe,2-4 Minogue Cres,Glebe,2037,NSW,Australia,0296602557,True,30.0,False,https://www.pcycnsw.org.au/glebe-leichhardt/,NSW - Sydney CBD,"Gym Access, Gym Access,",Gym Access,Gym Access,2,,,-33.88009999999,151.17735999999
7701,Gym 707,707 Darling St,Rozelle,2039,NSW,Australia,0280337786,False,10.0,False,https://gym707.com.au/,NSW - Sydney: Inner West,"Gym Access, Gym Access,",Gym Access,Gym Access,2,,,-33.86444000000,151.16873200000
6954,Crunch Female Fitness Centre Leichhardt,"MarketPlace Leichhardt Shopping Centre, Lords Road",Leichhardt,2040,NSW,Australia,0295181588,True,35.0,False,http://www.crunchfitness.com.au/,NSW - Sydney: Inner West,"Gym Access, Gym Access,",Gym Access,"Boxing, Cycling, Group Fitness, Gym Access, HIIT, Ladies Only, Pilates, Yoga",2,,,-33.88506000000,151.149
7221,Leichhardt Park Aquatic Centre,Mary St,Lilyfield,2040,NSW,Australia,0293925400,False,,False,https://www.innerwest.nsw.gov.au/explore/aquatic-centres/leichhardt-park-aquatic-centre,NSW - Sydney: Inner West,"Pool Entry, Pool Entry, Gym Access, Gym Access,","Pool Entry, Gym Access","Bootcamp, Boxing, Cycling, Group Fitness, Gym Access, HIIT, Pilates, Pool, Yoga",2,,Seasonal Pool ,-33.86744499999,151.15349399999
7715,PCYC Balmain,372 Darling St,Balmain,2041,NSW,Australia,0298102234,True,30.0,False,https://www.pcycnsw.org.au/balmain/,NSW - Sydney: Inner West,"Gym Access, Gym Access,",Gym Access,Group Fitness,2,,,-33.85638999999,151.17620700000
